Last login: Thu Jul 14 14:48:48 on ttys004
hexa-l-musique:~ normandeau$ sudo tcpdump -i lo0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on lo0, link-type NULL (BSD loopback), capture size 65535 bytes
14:58:42.443149 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.443172 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.469205 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.469228 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.495149 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.495175 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.530907 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.530946 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.561196 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.561219 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.594891 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.594925 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.628998 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.629024 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.654199 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.654221 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.679470 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.679496 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.705163 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.705185 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.731181 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.731204 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.757211 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.757301 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.783245 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.783281 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.808571 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.808594 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.833845 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.833876 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.859004 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.859027 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.884232 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.884255 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.909812 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.909849 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.935204 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.935227 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.960456 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.960479 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.986600 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:42.986663 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.011969 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.012006 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.037199 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.037224 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.063246 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.063270 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.088461 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.088484 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.114462 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.114492 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.140077 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.140100 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.165372 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.165404 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.190715 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.190737 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.215900 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.215927 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.241892 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.241935 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.267091 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.267114 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.292313 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.292348 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.319553 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.319576 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.345276 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.345304 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.370557 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.370649 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.396311 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.396362 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.422201 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.422234 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.448152 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.448188 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.473408 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.473436 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.499698 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.499721 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.524911 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.524936 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.550221 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.550244 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.576252 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.576274 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.601530 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.601562 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.628324 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.628346 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.653632 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.653654 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.679843 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.679871 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.705033 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.705061 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.730263 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.730288 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.756133 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.756156 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.782141 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.782174 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.808254 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.808278 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.833513 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.833541 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.860044 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.860066 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.885250 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.885281 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.911154 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.911176 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.937244 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.937282 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.962644 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.962665 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.988093 IP localhost.57272 > localhost.18032: UDP, length 40
